Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
NICO,kNN,ind_span,True,True,grass,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,True,grass,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,True,grass,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,grass,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,True,grass,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,True,outdoor,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,True,outdoor,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,outdoor,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,True,outdoor,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,True,rock,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,True,rock,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,rock,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,True,rock,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,True,water,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,True,water,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,True,water,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,True,water,water,1.0,0.98,0.99
NICO,kNN,logistic,True,True,autumn,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,True,autumn,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,True,autumn,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,True,autumn,water,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,True,grass,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,True,grass,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,True,grass,water,1.0,1.0,1.0
