Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
CCT,GradNorm,logistic,True,True,OoD Val,brightness,1.0,0.72,0.86
CCT,GradNorm,logistic,True,True,OoD Val,contrast,1.0,0.72,0.86
CCT,GradNorm,logistic,True,True,OoD Val,hue,0.0,0.7636363636363637,0.38181818181818183
CCT,GradNorm,logistic,True,True,OoD Val,multnoise,1.0,0.7326732673267327,0.8663366336633663
CCT,GradNorm,logistic,True,True,OoD Val,noise,0.79,0.74,0.765
CCT,GradNorm,logistic,True,True,OoD Val,saltpepper,1.0,0.74,0.87
CCT,GradNorm,logistic,True,True,OoD Val,smear,1.0,0.735,0.8674999999999999
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Test,0.73,0.74,0.735
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Val,0.7454545454545455,0.5724137931034483,0.658934169278997
CCT,GradNorm,val_optimal,True,False,OoD Test,brightness,1.0,0.72,0.86
CCT,GradNorm,val_optimal,True,False,OoD Test,contrast,1.0,0.72,0.86
CCT,GradNorm,val_optimal,True,False,OoD Test,hue,0.0,0.7636363636363637,0.38181818181818183
CCT,GradNorm,val_optimal,True,False,OoD Test,multnoise,1.0,0.7326732673267327,0.8663366336633663
CCT,GradNorm,val_optimal,True,False,OoD Test,noise,0.8,0.74,0.77
CCT,GradNorm,val_optimal,True,False,OoD Test,saltpepper,1.0,0.74,0.87
CCT,GradNorm,val_optimal,True,False,OoD Test,smear,1.0,0.73,0.865
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Test,0.73,0.74,0.735
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Val,0.7454545454545455,0.5724137931034483,0.658934169278997
CCT,GradNorm,val_optimal,True,False,OoD Val,brightness,1.0,0.72,0.86
CCT,GradNorm,val_optimal,True,False,OoD Val,contrast,1.0,0.72,0.86
CCT,GradNorm,val_optimal,True,False,OoD Val,hue,0.0,0.7636363636363637,0.38181818181818183
CCT,GradNorm,val_optimal,True,False,OoD Val,multnoise,1.0,0.7326732673267327,0.8663366336633663
CCT,GradNorm,val_optimal,True,False,OoD Val,noise,0.8,0.74,0.77
CCT,GradNorm,val_optimal,True,False,OoD Val,saltpepper,1.0,0.74,0.87
CCT,GradNorm,val_optimal,True,False,OoD Val,smear,1.0,0.73,0.865
CCT,GradNorm,ind_span,True,False,OoD Test,OoD Test,0.09,0.99,0.54
CCT,GradNorm,ind_span,True,False,OoD Test,OoD Val,0.12727272727272726,0.9517241379310345,0.5394984326018809
CCT,GradNorm,ind_span,True,False,OoD Test,brightness,1.0,0.985,0.9924999999999999
CCT,GradNorm,ind_span,True,False,OoD Test,contrast,1.0,0.99,0.995
CCT,GradNorm,ind_span,True,False,OoD Test,hue,0.34444444444444444,0.9454545454545454,0.6449494949494949
CCT,GradNorm,ind_span,True,False,OoD Test,multnoise,1.0,0.9801980198019802,0.9900990099009901
CCT,GradNorm,ind_span,True,False,OoD Test,noise,0.21,0.99,0.6
CCT,GradNorm,ind_span,True,False,OoD Test,saltpepper,1.0,0.99,0.995
CCT,GradNorm,ind_span,True,False,OoD Test,smear,1.0,0.995,0.9975
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Test,0.09,0.99,0.54
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Val,0.12727272727272726,0.9517241379310345,0.5394984326018809
CCT,GradNorm,ind_span,True,False,OoD Val,brightness,1.0,0.985,0.9924999999999999
CCT,GradNorm,ind_span,True,False,OoD Val,contrast,1.0,0.99,0.995
CCT,GradNorm,ind_span,True,False,OoD Val,hue,0.34444444444444444,0.9454545454545454,0.6449494949494949
CCT,GradNorm,ind_span,True,False,OoD Val,multnoise,1.0,0.9801980198019802,0.9900990099009901
CCT,GradNorm,ind_span,True,False,OoD Val,noise,0.21,0.99,0.6
CCT,GradNorm,ind_span,True,False,OoD Val,saltpepper,1.0,0.99,0.995
CCT,GradNorm,ind_span,True,False,OoD Val,smear,1.0,0.995,0.9975
CCT,GradNorm,logistic,True,False,OoD Test,OoD Test,0.73,0.74,0.735
CCT,GradNorm,logistic,True,False,OoD Test,OoD Val,0.7454545454545455,0.5655172413793104,0.6554858934169279
CCT,GradNorm,logistic,True,False,OoD Test,brightness,1.0,0.71,0.855
CCT,GradNorm,logistic,True,False,OoD Test,contrast,1.0,0.72,0.86
CCT,GradNorm,logistic,True,False,OoD Test,hue,0.0,0.7636363636363637,0.38181818181818183
CCT,GradNorm,logistic,True,False,OoD Test,multnoise,1.0,0.7326732673267327,0.8663366336633663
CCT,GradNorm,logistic,True,False,OoD Test,noise,0.8,0.74,0.77
CCT,GradNorm,logistic,True,False,OoD Test,saltpepper,1.0,0.74,0.87
CCT,GradNorm,logistic,True,False,OoD Test,smear,1.0,0.725,0.8625
CCT,GradNorm,logistic,True,False,OoD Val,OoD Test,0.72,0.74,0.73
CCT,GradNorm,logistic,True,False,OoD Val,OoD Val,0.7454545454545455,0.5724137931034483,0.658934169278997
CCT,GradNorm,logistic,True,False,OoD Val,brightness,1.0,0.72,0.86
CCT,GradNorm,logistic,True,False,OoD Val,contrast,1.0,0.72,0.86
CCT,GradNorm,logistic,True,False,OoD Val,hue,0.0,0.7636363636363637,0.38181818181818183
CCT,GradNorm,logistic,True,False,OoD Val,multnoise,1.0,0.7326732673267327,0.8663366336633663
CCT,GradNorm,logistic,True,False,OoD Val,noise,0.79,0.74,0.765
CCT,GradNorm,logistic,True,False,OoD Val,saltpepper,1.0,0.74,0.87
CCT,GradNorm,logistic,True,False,OoD Val,smear,1.0,0.735,0.8674999999999999
CCT,GradNorm,val_optimal,False,False,OoD Test,OoD Test,0.73,0.74,0.735
CCT,GradNorm,val_optimal,False,False,OoD Test,OoD Val,0.77,0.74,0.755
CCT,GradNorm,val_optimal,False,False,OoD Test,brightness,0.3,0.74,0.52
CCT,GradNorm,val_optimal,False,False,OoD Test,contrast,0.3,0.74,0.52
CCT,GradNorm,val_optimal,False,False,OoD Test,hue,0.0,0.74,0.37
CCT,GradNorm,val_optimal,False,False,OoD Test,multnoise,1.0,0.74,0.87
CCT,GradNorm,val_optimal,False,False,OoD Test,noise,0.8,0.74,0.77
CCT,GradNorm,val_optimal,False,False,OoD Test,saltpepper,1.0,0.74,0.87
CCT,GradNorm,val_optimal,False,False,OoD Test,smear,0.28,0.74,0.51
CCT,GradNorm,val_optimal,False,False,OoD Val,OoD Test,0.73,0.74,0.735
CCT,GradNorm,val_optimal,False,False,OoD Val,OoD Val,0.77,0.74,0.755
CCT,GradNorm,val_optimal,False,False,OoD Val,brightness,0.3,0.74,0.52
CCT,GradNorm,val_optimal,False,False,OoD Val,contrast,0.3,0.74,0.52
CCT,GradNorm,val_optimal,False,False,OoD Val,hue,0.0,0.74,0.37
CCT,GradNorm,val_optimal,False,False,OoD Val,multnoise,1.0,0.74,0.87
CCT,GradNorm,val_optimal,False,False,OoD Val,noise,0.8,0.74,0.77
CCT,GradNorm,val_optimal,False,False,OoD Val,saltpepper,1.0,0.74,0.87
CCT,GradNorm,val_optimal,False,False,OoD Val,smear,0.28,0.74,0.51
CCT,GradNorm,ind_span,False,False,OoD Test,OoD Test,0.09,0.99,0.54
CCT,GradNorm,ind_span,False,False,OoD Test,OoD Val,0.13,0.99,0.56
CCT,GradNorm,ind_span,False,False,OoD Test,brightness,0.02,0.99,0.505
CCT,GradNorm,ind_span,False,False,OoD Test,contrast,0.01,0.99,0.5
CCT,GradNorm,ind_span,False,False,OoD Test,hue,0.36,0.99,0.675
CCT,GradNorm,ind_span,False,False,OoD Test,multnoise,1.0,0.99,0.995
CCT,GradNorm,ind_span,False,False,OoD Test,noise,0.21,0.99,0.6
CCT,GradNorm,ind_span,False,False,OoD Test,saltpepper,1.0,0.99,0.995
CCT,GradNorm,ind_span,False,False,OoD Test,smear,0.0,0.99,0.495
CCT,GradNorm,ind_span,False,False,OoD Val,OoD Test,0.09,0.99,0.54
CCT,GradNorm,ind_span,False,False,OoD Val,OoD Val,0.13,0.99,0.56
CCT,GradNorm,ind_span,False,False,OoD Val,brightness,0.02,0.99,0.505
