,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
1,Detector Tree,350.5,1720.5935845614035,1718.781954887218,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,autumn,autumn
0,Base Tree,350.5,6735.0,6735.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,autumn,autumn
1,Detector Tree,350.5,1855.0,1855.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,autumn,autumn
0,Base Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,grass,autumn
1,Detector Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,grass,autumn
0,Base Tree,350.5,1315.8337136842106,1346.6666666666667,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,grass,autumn
1,Detector Tree,350.5,775.5064154385966,801.7944862155389,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,grass,autumn
0,Base Tree,350.5,1911.9393171428574,1934.9573934837092,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,grass,autumn
1,Detector Tree,350.5,894.2501742857143,919.4526315789473,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,grass,autumn
0,Base Tree,350.5,2549.045107443609,2533.032581453634,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,grass,autumn
1,Detector Tree,350.5,1021.161137518797,1039.0676691729323,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,grass,autumn
0,Base Tree,350.5,3241.764226240601,3211.9824561403507,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,grass,autumn
1,Detector Tree,350.5,1159.150231253133,1174.8576441102757,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,grass,autumn
0,Base Tree,350.5,3801.944838270677,3815.1027568922304,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,grass,autumn
1,Detector Tree,350.5,1270.7377605764411,1295.4817042606517,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,grass,autumn
0,Base Tree,350.5,4134.335773759399,4188.5939849624065,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,grass,autumn
1,Detector Tree,350.5,1336.9497687468672,1345.7187969924814,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,grass,autumn
0,Base Tree,350.5,4827.054892556391,4867.543859649123,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,grass,autumn
1,Detector Tree,350.5,1474.938862481203,1481.5087719298247,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,grass,autumn
0,Base Tree,350.5,5464.160682857143,5465.619047619048,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,grass,autumn
1,Detector Tree,350.5,1601.8498257142855,1601.1238095238095,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,grass,autumn
0,Base Tree,350.5,6060.266286315789,6053.909774436091,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,grass,autumn
1,Detector Tree,350.5,1720.5935845614035,1718.781954887218,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,grass,autumn
0,Base Tree,350.5,6735.0,6735.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,grass,autumn
1,Detector Tree,350.5,1855.0,1855.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,grass,autumn
0,Base Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,outdoor,autumn
1,Detector Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,outdoor,autumn
0,Base Tree,350.5,1315.8337136842106,1346.6666666666667,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,outdoor,autumn
1,Detector Tree,350.5,775.5064154385966,801.7944862155389,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,outdoor,autumn
0,Base Tree,350.5,1911.9393171428574,1934.9573934837092,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,outdoor,autumn
1,Detector Tree,350.5,894.2501742857143,919.4526315789473,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,outdoor,autumn
0,Base Tree,350.5,2549.045107443609,2533.032581453634,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,outdoor,autumn
1,Detector Tree,350.5,1021.161137518797,1039.0676691729323,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,outdoor,autumn
0,Base Tree,350.5,3241.764226240601,3211.9824561403507,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,outdoor,autumn
1,Detector Tree,350.5,1159.150231253133,1174.8576441102757,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,outdoor,autumn
0,Base Tree,350.5,3801.944838270677,3815.1027568922304,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,outdoor,autumn
1,Detector Tree,350.5,1270.7377605764411,1295.4817042606517,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,outdoor,autumn
0,Base Tree,350.5,4134.335773759399,4188.5939849624065,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,outdoor,autumn
1,Detector Tree,350.5,1336.9497687468672,1345.7187969924814,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,outdoor,autumn
0,Base Tree,350.5,4827.054892556391,4867.543859649123,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,outdoor,autumn
1,Detector Tree,350.5,1474.938862481203,1481.5087719298247,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,outdoor,autumn
0,Base Tree,350.5,5464.160682857143,5465.619047619048,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,outdoor,autumn
1,Detector Tree,350.5,1601.8498257142855,1601.1238095238095,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,outdoor,autumn
0,Base Tree,350.5,6060.266286315789,6053.909774436091,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,outdoor,autumn
1,Detector Tree,350.5,1720.5935845614035,1718.781954887218,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,outdoor,autumn
0,Base Tree,350.5,6735.0,6735.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,outdoor,autumn
1,Detector Tree,350.5,1855.0,1855.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,outdoor,autumn
0,Base Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,rock,autumn
1,Detector Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,rock,autumn
0,Base Tree,350.5,1315.8337136842106,1346.6666666666667,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,rock,autumn
1,Detector Tree,350.5,775.5064154385966,801.7944862155389,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,rock,autumn
0,Base Tree,350.5,1911.9393171428574,1934.9573934837092,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,rock,autumn
1,Detector Tree,350.5,894.2501742857143,919.4526315789473,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,rock,autumn
0,Base Tree,350.5,2549.045107443609,2533.032581453634,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,rock,autumn
1,Detector Tree,350.5,1021.161137518797,1039.0676691729323,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,rock,autumn
0,Base Tree,350.5,3241.764226240601,3211.9824561403507,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,rock,autumn
1,Detector Tree,350.5,1159.150231253133,1174.8576441102757,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,rock,autumn
0,Base Tree,350.5,3801.944838270677,3815.1027568922304,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,rock,autumn
1,Detector Tree,350.5,1270.7377605764411,1295.4817042606517,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,rock,autumn
0,Base Tree,350.5,4134.335773759399,4188.5939849624065,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,rock,autumn
1,Detector Tree,350.5,1336.9497687468672,1345.7187969924814,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,rock,autumn
0,Base Tree,350.5,4827.054892556391,4867.543859649123,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,rock,autumn
1,Detector Tree,350.5,1474.938862481203,1481.5087719298247,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,rock,autumn
0,Base Tree,350.5,5464.160682857143,5465.619047619048,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,rock,autumn
1,Detector Tree,350.5,1601.8498257142855,1601.1238095238095,0.20833431428571428,0.2080952380952381,0.791904761904762,0.791904761904762,0.7914571428571429,0.9990000000000001,0.0,0.0,0.020858646616541347,0.020477069172932332,Entropy,1.0,1.0,1.0,0.8,rock,autumn
0,Base Tree,350.5,6060.266286315789,6053.909774436091,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,rock,autumn
1,Detector Tree,350.5,1720.5935845614035,1718.781954887218,0.1106120842105263,0.11165413533834588,0.8883458646616541,0.8883458646616541,0.8892771929824561,0.9990000000000001,0.0,0.0,0.011779949874686727,0.013360012030075192,Entropy,1.0,1.0,1.0,0.9,rock,autumn
0,Base Tree,350.5,6735.0,6735.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,rock,autumn
1,Detector Tree,350.5,1855.0,1855.0,0.0,0.0,1.0,1.0,1.0,0.9990000000000001,0.0,0.0,0.0,0.0,Entropy,1.0,1.0,1.0,1.0,rock,autumn
0,Base Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,water,autumn
1,Detector Tree,350.5,641.1,665.5764411027569,0.9990000000000001,0.9949874686716792,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,0.00508020050125313,Entropy,1.0,1.0,1.0,0.0,water,autumn
0,Base Tree,350.5,1315.8337136842106,1346.6666666666667,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,water,autumn
1,Detector Tree,350.5,775.5064154385966,801.7944862155389,0.8883879157894737,0.8833333333333333,0.11165413533834588,0.11165413533834588,0.11072280701754386,0.9990000000000001,0.0,0.0,0.011779949874686717,0.012265158897243118,Entropy,1.0,1.0,1.0,0.1,water,autumn
0,Base Tree,350.5,1911.9393171428574,1934.9573934837092,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,water,autumn
1,Detector Tree,350.5,894.2501742857143,919.4526315789473,0.7906656857142856,0.7868922305764412,0.2080952380952381,0.2080952380952381,0.20854285714285714,0.9990000000000001,0.0,0.0,0.02085864661654135,0.0175218045112782,Entropy,1.0,1.0,1.0,0.2,water,autumn
0,Base Tree,350.5,2549.045107443609,2533.032581453634,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,water,autumn
1,Detector Tree,350.5,1021.161137518797,1039.0676691729323,0.6862221135338346,0.6888471177944862,0.306140350877193,0.306140350877193,0.31309097744360903,0.9990000000000001,0.0,0.0,0.029221804511278194,0.020274159649122814,Entropy,1.0,1.0,1.0,0.30000000000000004,water,autumn
0,Base Tree,350.5,3241.764226240601,3211.9824561403507,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,water,autumn
1,Detector Tree,350.5,1159.150231253133,1174.8576441102757,0.5726616022556391,0.5775438596491228,0.4174436090225564,0.4174436090225564,0.4267651629072682,0.9990000000000001,0.0,0.0,0.05552756892230575,0.036574155137844615,Entropy,1.0,1.0,1.0,0.4,water,autumn
0,Base Tree,350.5,3801.944838270677,3815.1027568922304,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,water,autumn
1,Detector Tree,350.5,1270.7377605764411,1295.4817042606517,0.48082871503759395,0.478671679197995,0.5163157894736842,0.5163157894736842,0.5186899749373434,0.9990000000000001,0.0,0.0,0.04579774436090226,0.04011487944862155,Entropy,1.0,1.0,1.0,0.5,water,autumn
0,Base Tree,350.5,4134.335773759399,4188.5939849624065,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,water,autumn
1,Detector Tree,350.5,1336.9497687468672,1345.7187969924814,0.4263383977443609,0.4174436090225564,0.5825563909774436,0.5825563909774436,0.5732348370927318,0.9990000000000001,0.0,0.0,0.05552756892230578,0.03942992606516291,Entropy,1.0,1.0,1.0,0.6000000000000001,water,autumn
0,Base Tree,350.5,4827.054892556391,4867.543859649123,0.31277788646616544,0.306140350877193,0.693859649122807,0.693859649122807,0.686909022556391,0.9990000000000001,0.0,0.0,0.029221804511278187,0.022152780200501248,Entropy,1.0,1.0,1.0,0.7000000000000001,water,autumn
